iter	Passed	Remaining
1169	6341	4498
1170	6345	4492
1171	6350	4486
1172	6352	4478
1173	6358	4473
1174	6368	4471
1175	6373	4465
1176	6377	4459
1177	6381	4452
1178	6386	4447
1179	6390	4440
1180	6397	4436
1181	6398	4428
1182	6403	4422
1183	6408	4416
1184	6412	4410
1185	6416	4403
1186	6420	4397
1187	6423	4390
1188	6427	4384
1189	6433	4378
1190	6437	4372
1191	6441	4366
1192	6446	4360
1193	6450	4354
1194	6455	4348
1195	6458	4341
1196	6464	4336
1197	6469	4330
1198	6472	4324
1199	6478	4318
1200	6481	4312
1201	6486	4306
1202	6488	4298
1203	6495	4294
1204	6498	4287
1205	6502	4280
1206	6510	4277
1207	6516	4272
1208	6524	4268
1209	6529	4263
1210	6533	4256
1211	6536	4250
1212	6540	4243
1213	6545	4237
1214	6548	4230
1215	6552	4224
1216	6556	4218
1217	6562	4213
1218	6568	4208
1219	6572	4201
1220	6576	4196
1221	6583	4191
1222	6589	4186
1223	6590	4178
1224	6594	4172
1225	6599	4166
1226	6605	4161
1227	6609	4155
1228	6614	4149
1229	6618	4143
1230	6622	4137
1231	6625	4130
1232	6631	4125
1233	6636	4119
1234	6639	4112
1235	6647	4108
1236	6652	4103
1237	6656	4096
1238	6660	4091
1239	6664	4084
1240	6668	4078
1241	6672	4072
1242	6677	4066
1243	6680	4059
1244	6688	4056
1245	6694	4051
1246	6699	4045
1247	6703	4039
1248	6712	4035
1249	6717	4030
1250	6723	4025
1251	6727	4019
1252	6732	4013
1253	6735	4006
1254	6739	4000
1255	6745	3995
1256	6750	3989
1257	6753	3983
1258	6757	3977
1259	6763	3972
1260	6768	3966
1261	6772	3960
1262	6776	3954
1263	6780	3947
1264	6783	3941
1265	6792	3938
1266	6800	3934
1267	6807	3930
1268	6817	3927
1269	6825	3923
1270	6833	3919
1271	6840	3914
1272	6846	3909
1273	6853	3905
1274	6857	3899
1275	6868	3897
1276	6879	3894
1277	6884	3889
1278	6888	3883
1279	6896	3879
1280	6901	3873
1281	6906	3868
1282	6910	3862
1283	6916	3856
1284	6921	3851
1285	6925	3845
1286	6930	3839
1287	6934	3833
1288	6937	3826
1289	6942	3820
1290	6944	3813
1291	6948	3807
1292	6952	3801
1293	6956	3795
1294	6960	3789
1295	6965	3783
1296	6968	3777
